,NumEvt,C1,C2,Beta,Gamma,Mag,StdM,H,StdH,Io
1,640001.0,3.297,1.306,-2.997,0.0,5.118794338082449,0.13968034679438981,2.515474008887481,0.9628824801177959,8.499999965804362
2,640001.0,2.378,1.544,-3.078,0.0,5.006401976975492,0.11760510909749547,2.894517292323525,1.072289480598199,8.499996918386552
3,640001.0,3.237,1.387,-3.258,-0.00121,5.2223625363128665,0.1260433866436716,5.13999948169873,1.6661303835013688,8.157459436873268
4,640001.0,2.188,1.574,-3.048,-0.00411,5.151265944248651,0.11107276919337904,5.138242564170074,1.7571313085021927,8.108273905235563
5,640001.0,3.052,1.285,-2.742,-0.00167,5.152115016231483,0.14284301756170048,1.911907271041107,0.8023057123864091,8.499991400858189
6,640001.0,1.789,1.613,-2.939,0.0,5.027801256352868,0.11304566407020658,2.5534843760158283,0.9962054871139983,8.499998523093483
7,640001.0,2.947,1.388,-3.058,-0.00164,5.200613938227632,0.12951500241021008,3.6018691848929,1.3190278777192908,8.454854562074308
8,640001.0,1.411,1.682,-2.948,-0.00268,5.133781018444521,0.1071416949320327,3.4389599867730687,1.3082533480164293,8.45287987963604
9,640001.0,3.064,1.221,-2.478,-0.0064,5.269643917354591,0.1498873636366548,2.2181519667388714,1.0166368490078055,8.499940100924404
10,640001.0,2.475,1.507,-2.978,-0.00394,5.098335374207559,0.11836655113195065,4.076999406158583,1.4954244633590232,8.324168654504017
11,640001.0,3.321,1.362,-3.225,-0.00175,5.238217139552542,0.1283118738569796,5.15693672854249,1.6830362651341964,8.148616954845943
12,640001.0,2.327,1.59,-3.243,-0.00198,5.136507876112497,0.10968107604624452,5.2575943075468,1.6939028268958243,8.145799307668286
13,640001.0,2.902,1.218,-2.348,-0.00659,5.261861001452351,0.1508583911422248,1.7921996444853618,0.8712700656501077,8.499998654247676
14,640001.0,2.066,1.553,-2.861,-0.00405,5.094828070420863,0.11600966753697206,3.45728586374953,1.3487056173737118,8.422488247208761
15,640001.0,3.071,1.363,-3.052,-0.00209,5.214366979863162,0.13168691534732346,3.7005476892248828,1.3518221566646458,8.435156141780098
16,640001.0,1.579,1.689,-3.116,-0.00107,5.1204432759745355,0.1063035037519204,3.6803242264712224,1.3218199728721314,8.457005515519246
17,640001.0,4.81,1.27,-3.87,0.0,5.236927295566157,0.1243158378449323,8.962804365567218,1.867585376448036,7.774916096930517
18,640001.0,4.66,1.27,-3.83,0.0,5.306258255853713,0.12473590495059833,8.857814143012705,1.8872809371766675,7.770666283189225
